run,condition,avg_dc,avg_ic,avg_total_dc,avg_total_ic,avg_total_c,avg_perc_junk1,avg_perc_junk2,final_dc,final_ic,final_total_dc,final_total_ic,final_total_c,final_perc_junk1,final_perc_junk2,init_dc,init_ic,init_total_dc,init_total_ic,init_perc_junk1,init_perc_junk2
23.00,0.00,22415023.72,9348293.04,147843405.43,175966112.77,323809518.20,62.79,62.53,34577543.94,22899519.59,157395715.38,186049961.87,343445677.25,61.55,61.61,21272596.70,7133981.80,154792822.27,184500926.76,97.00,93.00
24.00,0.00,20519888.56,7102675.34,147472653.54,175745470.72,323218124.26,62.75,62.72,32855923.88,20859506.53,157058908.86,185849521.40,342908430.26,61.52,61.81,18999389.63,4440372.32,154348106.87,184236267.50,97.00,93.00
25.00,0.00,21776679.16,8591894.31,147718523.86,175891793.19,323610317.05,62.71,62.55,33273792.82,21354655.33,157140658.02,185898172.00,343038830.02,61.45,61.63,20704294.93,6460579.43,154681643.42,184434761.95,97.00,93.00
26.00,0.00,22106198.67,8982354.50,147782988.91,175930157.66,323713146.57,62.77,62.64,34961983.37,23355056.48,157470924.61,186094720.42,343565645.03,61.50,61.71,20386714.53,6084266.34,154619514.06,184397787.49,97.00,93.00
27.00,0.00,23485564.16,10616817.11,148052838.98,176090750.98,324143589.96,62.70,62.51,35246134.25,23691757.67,157526514.03,186127802.83,343654316.86,61.43,61.61,22843783.93,8995741.28,155100199.10,184683853.02,97.00,93.00
28.00,0.00,21348462.98,8084484.68,147634750.44,175841937.91,323476688.35,62.79,62.56,32822494.36,20819894.63,157052368.93,185845629.35,342897998.28,61.55,61.66,20186137.44,5846594.92,154580274.47,184374435.20,97.00,93.00
29.00,0.00,21865824.53,8697526.05,147735963.68,175902171.99,323638135.67,62.80,62.52,34811550.55,23176802.92,157441494.91,186077206.20,343518701.11,61.55,61.60,20252996.47,5925818.72,154593354.33,184382219.30,97.00,93.00
30.00,0.00,21284787.71,8009033.43,147622293.43,175834524.49,323456817.92,62.83,62.44,32605202.51,20562417.25,157009859.37,185820331.04,342830190.41,61.58,61.53,19952130.83,5569311.59,154534494.94,184347190.87,97.00,93.00
31.00,0.00,20987901.78,7657242.00,147564212.60,175799959.39,323364171.99,62.66,62.54,32638632.03,20602029.16,157016399.30,185824223.08,342840622.38,61.45,61.62,20353285.01,6044654.44,154612974.13,184393895.44,97.00,93.00
32.00,0.00,22227181.68,9125711.87,147806657.24,175944243.17,323750900.41,62.75,62.41,35028842.40,23434280.29,157484004.47,186102504.52,343586508.99,61.50,61.46,20904872.02,6698250.85,154720883.02,184458114.24,97.00,93.00
33.00,0.00,22976957.96,10014150.29,147953338.58,176031536.25,323984874.83,62.75,62.45,34861694.82,23236220.77,157451304.81,186083044.28,343534349.09,61.49,61.54,22359055.95,8421368.68,155005370.08,184627418.32,97.00,93.00
34.00,0.00,21560979.19,8336303.21,147676325.73,175866680.22,323543005.95,62.75,62.51,32688776.30,20661447.01,157026209.20,185830061.16,342856270.36,61.52,61.60,20971731.05,6777474.66,154733962.88,184465898.33,97.00,93.00
